2020-06-21 01:27:21,291 :INFO : <module> :Automation Practice Website is Opened successfully
2020-06-21 01:27:23,527 :INFO : <module> :Browser is Maximized
2020-06-21 01:27:26,170 :INFO : navigation_from_landing_page_to_login_page :Clicked on the Sign in link of Landing page
2020-06-21 01:27:26,190 :INFO : navigation_from_landing_page_to_login_page :Navigated to Login Page
2020-06-21 01:27:28,911 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="82f9bcb3-e7f2-4673-93cf-2486e0fe89cb")> is visible
2020-06-21 01:27:28,999 :INFO : test_navigation_to_create_account_screen :Navigated to Create Account Page
2020-06-21 01:27:30,846 :INFO : navigation_from_landing_page_to_login_page :Clicked on the Sign in link of Landing page
2020-06-21 01:27:30,846 :INFO : navigation_from_landing_page_to_login_page :Clicked on the Sign in link of Landing page
2020-06-21 01:27:30,870 :INFO : navigation_from_landing_page_to_login_page :Navigated to Login Page
2020-06-21 01:27:30,870 :INFO : navigation_from_landing_page_to_login_page :Navigated to Login Page
2020-06-21 01:27:33,212 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="36f9e7bc-a30e-467d-8a26-11a1b4e52046")> is visible
2020-06-21 01:27:33,212 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="36f9e7bc-a30e-467d-8a26-11a1b4e52046")> is visible
2020-06-21 01:27:33,296 :INFO : test_navigation_to_create_account_screen :Navigated to Create Account Page
2020-06-21 01:27:33,296 :INFO : test_navigation_to_create_account_screen :Navigated to Create Account Page
2020-06-21 01:27:33,424 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="36f9e7bc-a30e-467d-8a26-11a1b4e52046")> is visible
2020-06-21 01:27:33,424 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="36f9e7bc-a30e-467d-8a26-11a1b4e52046")> is visible
2020-06-21 01:27:33,424 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="36f9e7bc-a30e-467d-8a26-11a1b4e52046")> is visible
2020-06-21 01:27:33,576 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="b7fa0232-7814-4ace-9f3b-c04ac111b119")> is visible
2020-06-21 01:27:33,576 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="b7fa0232-7814-4ace-9f3b-c04ac111b119")> is visible
2020-06-21 01:27:33,576 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="b7fa0232-7814-4ace-9f3b-c04ac111b119")> is visible
2020-06-21 01:27:33,576 :INFO : validate_element_to_be_displayed :Element <selenium.webdriver.remote.webelement.WebElement (session="fed68a8505453543f7e5e16a6d8a0f1c", element="b7fa0232-7814-4ace-9f3b-c04ac111b119")> is visible
